TITLE;DIRECTOR;YEAR;REVIEW;GENRE;Runtime;FORMAT;DATE;REWATCH;COMMENTS
F1;Joseph Kosinski;2025;60;Action/Drama;02:36;Bioscoop;2-7-2025;;
Bring Her Back;Michael Philippou & Danny Philippou;2025;80;Horror;01:44;Online;7-7-2025;;
Jurassic World Rebirth;Gareth Edwards;2025;60;Science Fiction/Adventure/Action;02:14;Bioscoop;10-7-2025;;
Superman;James Gunn;2025;90;Science Fiction/Adventure/Action;02:10;Bioscoop;13-7-2025;;
The Thing;Matthijs van Heijningen Jr.;2011;50;Horror/Science Fiction/Mystery;01:43;Online;18-7-2025;;
Reservoir Dogs;Quentin Tarantino;1992;70;Crime/Thriller;01:39;Prime;21-7-2025;;
Se7en;David Fincher;1995;90;Crime/Mystery/Thriller;02:07;Prime;22-7-2025;;
The Fantastic Four: First Steps;Matt Shakman;2025;70;Science Fiction/Adventure;01:55;Bioscoop;25-7-2025;;
Inglourious Basterds;Quentin Tarantino;2009;100;Drama/Thriller/War;02:33;Online;30-7-2025;;
Warfare;Ray Mendoza & Alex Garland;2025;70;War/Action;01:35;Online;2-8-2025;;
Burn After Reading;Ethan Coen & Joel Coen;2008;60;Comedy/Drama;01:36;Prime;5-8-2025;;
The Naked Gun: From the Files of Police Squad!;David Zucker;1988;70;Comedy/Crime;01:26;Online;22-8-2025;;
The Descent;Neil Marshall;2005;60;Adventure/Horror;01:40;Online;23-8-2025;;
We Need to Talk About Kevin;Lynne Ramsay;2011;40;Drama/Thriller;01:53;Online;26-8-2025;;
Weapons;Zach Cregger;2025;90;Horror/Mystery;02:09;Bioscoop;29-8-2025;;
X;Ti West;2022;70;Horror/Thriller;01:46;Online;13-9-2025;;
MaXXXine;Ti West;2024;70;Horror/Thriller;01:43;Online;14-9-2025;;
War Dogs;Todd Phillips;2016;80;Comedy/Crime/Drama;01:54;Prime;26-9-2025;;
Ex Machina;Alex Garland;2015;70;Drama/Science Fiction;01:48;Prime;27-9-2025;;
Nobody 2;Timo Tjahjanto;2025;50;Action/Thriller;01:29;Online;12-10-2025;;
The Long Walk;Francis Lawrence;2025;60;Horror/Thriller;01:49;Bioscoop;15-10-2025;;
A House of Dynamite;Kathryn Bigelow;2025;80;War/Thriller;01:53;Bioscoop;18-10-2025;;
The Occupant;Hugo Keijzer;2025;50;Science Fiction/Drama/Thriller;01:44;Bioscoop;21-10-2025;;
Roofman;Derek Cianfrance;2025;60;Crime/Drama/Comedy;02:06;Bioscoop;25-10-2025;;
Bugonia;Yorgos Lanthimos;2025;90;Comedy/Science Fiction/Thriller;01:58;Bioscoop;25-10-2025;;
The Internship;Shawn Levy;2013;50;Comedy;01:59;Netflix;28-10-2025;;
Happy Death Day;Christopher Landon;2017;60;Comedy/Horror/Mystery;01:37;Online;29-10-2025;;
